date,date_plus_10,event,newspaper_link
08-12-2020,13-12-2020,"Biden promises 100 million vaccines in 100 days",https://www.scientificamerican.com/article/biden-aims-for-100-million-covid-vaccinations-in-first-100-days/
14-12-2020,22-12-2020,"United Kingdom authorities reported a SARS-CoV-2 variant to WHO. The United Kingdom referred to the variant as SARS-CoV-2 VOC 202012/01 (Variant of Concern, year 2020, month 12, variant 01).",https://www.who.int/csr/don/31-december-2020-sars-cov2-variants/en/
23-12-2020,28-12-2020,"US Buys More Pfizer Vaccine - The Trump administration announces it will buy an additional 100 million doses of Pfizer and BioNTech’s vaccine.",https://www.ajmc.com/view/what-we-re-reading-us-buys-more-pfizer-vaccine-walmart-sued-over-opioid-crisis-2020-s-deadly-toll
29-12-20,30-12-2020,"First US Case of New COVID-19 Variant Found in Colorado - The recently discovered novel variant found a week prior in the United Kingdom is detected in a Colorado man in his 20s with no travel history. Scientists say they are concerned, but not surprised, since viruses are known to mutate.",https://www.nytimes.com/2020/12/29/health/uk-coronavirus-variant-colorado.html?
31-12-20,04-01-2021,"US Falls Short of Goal to Give 20 Million Vaccinations by Year End - As the year closed, the CDC says about 2.8 million people so far have received an initial vaccination. The US says on December 30 that about 14 million doses have been distributed, out of total of 20 million allocated doses.",https://www.washingtonpost.com/gdpr-consent/?next_url=https%3a%2f%2fwww.washingtonpost.com%2fnation%2f2020%2f12%2f31%2fcoronavirus-covid-updates%2f
05-01-2021,21-01-2021,"WHO’s Strategic Advisory Group of Experts on Immunization (SAGE) met to review the vaccine data for the Pfizer/BioNTech vaccine and formulate policy recommendations on how best to use it. The vaccine was the first to receive an emergency use validation from WHO for efficacy against COVID-19.",https://www.who.int/news-room/feature-stories/detail/who-can-take-the-pfizer-biontech-covid-19--vaccine
22-01-2021,03-02-2021,"Boris Johnson announces that Covid UK Variant is 30% more deadly",https://www.theguardian.com/world/2021/jan/22/new-uk-covid-variant-may-be-more-deadly-says-boris-johnson
25-02-2021, 9-03-2021,"All India Institute of Medical Sciences said that Covaxin may provide immunity against the disease for nine to 12 months",https://www.pharmaceutical-technology.com/news/bharat-biotech-vaccine-efficacy-2/
10-03-2021, 20-03-2021,"Vaccination sites across the UK delivered almost 1.6m COVID-19 jabs in two days ", https://www.gponline.com/16m-covid-19-jabs-two-days-vaccine-rollout-hits-new-peak/article/1710611
12-04-2021, 17-04-2021,"India authorizes use of Russia’s Sputnik V vaccine", https://www.cnbc.com/2021/04/14/covid-india-authorizes-use-of-russias-sputnik-v-vaccine.html
05-04-2021, 22-04-2021 ,"All U.S. states had made Americans aged 16 and older eligible for the vaccine", https://www.theguardian.com/us-news/2021/apr/06/us-covid-vaccine-eligibility-adults-joe-biden
